30616 /  007 Blood Stone /  $8.00 /  $9.43 /  $22.46 / 
19596 /  Cloudy with a Chance of Meatballs /  $9.97 /  $10.00 /  $22.03 / 
16216 /  College Hoops 2K6 /  $7.00 /  $7.03 /  $29.86 / 
10612 /  College Hoops 2K7 /  $7.53 /  $8.00 /  $20.60 / 
11481 /  College Hoops 2K8 /  $18.10 /  $23.50 /  $70.79 / 
13969 /  "Command & Conquer 3 Kanes Wrath" /  $7.51 /  $10.52 /  $17.95 / 
10690 /  Command & Conquer 3 Tiberium Wars /  $5.99 /  $6.37 /  $14.75 / 
15950 /  Command & Conquer Red Alert 3 /  $5.22 /  $9.99 /  $17.99 / 
10330 /  Conan /  $4.26 /  $6.12 /  $16.48 / 
14084 /  Condemned 2 Bloodshot /  $5.48 /  $5.56 /  $18.84 / 
10613 /  Condemned Criminal Origins /  $5.75 /  $6.99 /  $25.41 / 
65141 /  Condemned: Criminal Origins [Platinum Hits] /  $7.29 /  $7.29 /  $24.99 / 
12102 /  Conflict Denied Ops /  $4.43 /  $5.73 /  $15.95 / 
32871 /  Country Dance /  $5.60 /  $6.57 /  $13.99 / 
10614 /  Crackdown /  $3.99 /  $4.30 /  $14.87 / 
21561 /  Crackdown 2 /  $3.96 /  $4.39 /  $12.99 / 
15677 /  Crash Mind Over Mutant /  $14.25 /  $25.08 /  $49.58 / 
14451 /  Crash Time /  $9.46 /  $9.65 /  $15.00 / 
8772 /  Crash of the Titans /  $17.95 /  $19.47 /  $49.99 / 
31355 /  Create /  $6.93 /  $7.42 /  $26.99 / 
31095 /  Crysis 2 /  $3.65 /  $5.48 /  $11.99 / 
33843 /  Crysis 2 [Limited Edition] /  $4.09 /  $4.59 /  $14.06 / 
42389 /  Crysis 2 [Nano Edition] /  $115.38 /  $150.00 /  $288.46 / 
65142 /  Crysis 2 [Platinum Hits] /   /   /   / 
36128 /  Crysis 3 Hunter Edition /  $5.00 /  $5.27 /  $10.85 / 
11892 /  Culdcept Saga /  $14.81 /  $18.59 /  $42.95 / 
33425 /  DJ Hero (game only) /  $3.80 /  $3.99 /  $8.22 / 
30286 /  DJ Hero 2 /  $2.79 /  $3.50 /  $3.85 / 
30292 /  DJ Hero 2 Party Bundle /  $29.97 /  $29.99 /  $49.99 / 
30287 /  DJ Hero 2 Turntable Bundle /  $13.75 /  $18.46 /  $37.03 / 
19839 /  DJ Hero Renegade Edition /  $42.00 /  $46.18 /  $79.93 / 
19836 /  DJ Hero Turntable Bundle /  $3.93 /  $16.99 /  $21.75 / 
33790 /  DMC: Devil May Cry /  $3.74 /  $3.99 /  $9.86 / 
33024 /  Damage Inc.: Pacific Squadron WWII /  $8.99 /  $9.26 /  $15.00 / 
38229 /  Damage Inc.: Pacific Squadron WWII [Limited Edition] /  $57.69 /  $75.00 /  $99.99 / 
19226 /  Damnation /  $5.89 /  $9.50 /  $16.00 / 
30634 /  Dance Central /  $2.66 /  $3.42 /  $6.58 / 
31909 /  Dance Central 2 /  $3.42 /  $4.34 /  $8.17 / 
33179 /  Dance Central 3 /  $4.99 /  $5.90 /  $9.00 / 
32952 /  Dance Dance Revolution /  $12.99 /  $15.63 /  $30.25 / 
11276 /  Dance Dance Revolution Universe /  $5.99 /  $7.79 /  $18.81 / 
11278 /  Dance Dance Revolution Universe 2 /  $5.30 /  $6.80 /  $24.99 / 
11266 /  Dance Dance Revolution Universe 2 Bundle /  $29.99 /  $33.22 /  $55.09 / 
34124 /  Dance Dance Revolution Universe 3 /  $6.71 /  $7.41 /  $24.99 / 
16087 /  Dance Dance Revolution Universe 3 Bundle /  $15.51 /  $15.58 /  $29.97 / 
10615 /  Dance Dance Revolution Universe Bundle /  $24.99 /  $35.22 /  $39.99 / 
31635 /  Dance Masters /  $4.09 /  $4.57 /  $7.36 / 
30989 /  Dance Paradise /  $2.75 /  $3.58 /  $8.75 / 
31321 /  DanceDanceRevolution /  $9.19 /  $14.95 /  $26.36 / 
20407 /  "Dantes Inferno" /  $6.04 /  $6.29 /  $21.51 / 
55823 /  "Dantes Inferno [Platinum Hits]" /  $6.45 /  $8.38 /  $15.08 / 
34099 /  Dark /  $5.95 /  $8.25 /  $15.96 / 
11889 /  Dark Messiah: Might and Magic Elements /  $5.09 /  $7.25 /  $13.54 / 
11895 /  Dark Sector /  $3.19 /  $4.72 /  $9.45 / 
31804 /  Dark Souls /  $5.15 /  $6.02 /  $17.22 / 
34729 /  Dark Souls II /  $5.43 /  $6.77 /  $11.80 / 
34727 /  Dark Souls II Black Armor Edition /  $8.24 /  $8.33 /  $11.37 / 
34731 /  "Dark Souls II Collectors Edition" /  $26.30 /  $26.42 /  $41.17 / 
35671 /  Dark Souls II: Scholar of the First Sin /  $8.89 /  $10.19 /  $15.97 / 
31805 /  Dark Souls Limited Edition /  $23.31 /  $26.20 /  $53.99 / 
20358 /  Dark Void /  $3.50 /  $3.98 /  $8.20 / 
21595 /  DarkStar One: Broken Alliance /  $6.45 /  $6.91 /  $11.43 / 
19577 /  Darkest of Days /  $8.26 /  $10.30 /  $19.23 / 
20340 /  Darksiders /  $4.24 /  $4.63 /  $10.14 / 
34886 /  Darksiders Collection /  $7.62 /  $9.57 /  $24.05 / 
32998 /  Darksiders II /  $3.99 /  $4.25 /  $7.32 / 
32981 /  "Darksiders II [Collectors Edition]" /  $50.00 /  $60.00 /  $104.58 / 
65264 /  Darksiders II [Limited Edition] /   /   /   / 
65433 /  Darksiders II [Platinum Hits] /   /   /   / 
31127 /  De Blob 2 /  $5.18 /  $6.13 /  $9.99 / 
31685 /  Dead Island /  $3.14 /  $4.24 /  $7.75 / 
33997 /  Dead Island Riptide /  $3.10 /  $3.93 /  $7.21 / 
33999 /  Dead Island Riptide Rigor Mortis Edition /  $22.57 /  $24.09 /  $30.45 / 
36463 /  Dead Island Riptide [Special Edition] /  $5.00 /  $5.94 /  $10.87 / 
45078 /  Dead Island Riptide [Steelbook Edition] /  $3.85 /  $7.70 /  $7.70 / 
36572 /  Dead Island Special Edition /  $4.13 /  $4.99 /  $15.09 / 
32883 /  Dead Island [Game of the Year] /  $3.86 /  $3.97 /  $6.50 / 
10617 /  Dead Rising /  $3.65 /  $4.14 /  $7.83 / 
22066 /  Dead Rising 2 /  $3.97 /  $5.16 /  $10.06 / 
22071 /  Dead Rising 2 [High Stakes Edition] /  $28.74 /  $35.58 /  $73.11 / 
65436 /  Dead Rising 2 [Platinum Hits] /   /   /   / 
22069 /  Dead Rising 2 [Zombrex Edition] /  $12.28 /  $15.48 /  $32.99 / 
31821 /  Dead Rising 2: Off the Record /  $5.69 /  $6.74 /  $13.10 / 
65185 /  Dead Rising [Platinum Hits] /  $3.51 /  $4.45 /  $8.50 / 
16082 /  Dead Space /  $7.03 /  $7.91 /  $18.92 / 
30868 /  Dead Space 2 /  $4.94 /  $5.37 /  $11.63 / 
30872 /  "Dead Space 2 [Collectors Edition]" /  $27.00 /  $39.59 /  $67.49 / 
33830 /  Dead Space 3 Dev Team Edition (Accessories Only) /  $150.00 /  $195.00 /  $268.84 / 
33819 /  Dead Space 3 Limited Edition /  $4.96 /  $6.34 /  $13.28 / 
20399 /  Dead Space Ultra Limited Edition /  $441.25 /  $444.14 /  $1008.18 / 
62371 /  Dead Space [Platinum Hits] /  $4.50 /  $4.69 /  $5.56 / 
10616 /  Dead or Alive 4 /  $5.37 /  $7.90 /  $34.75 / 
33112 /  Dead or Alive 5 /  $5.99 /  $7.77 /  $12.68 / 
34251 /  Dead or Alive 5 Ultimate /  $10.48 /  $12.54 /  $19.45 / 
35556 /  "Dead or Alive 5 [Collectors Edition]" /  $26.50 /  $26.50 /  $50.00 / 
10691 /  Dead or Alive Xtreme 2 /  $11.98 /  $13.50 /  $38.97 / 
21261 /  Dead to Rights: Retribution /  $6.31 /  $8.00 /  $20.60 / 
34642 /  Deadfall Adventures /  $9.49 /  $10.00 /  $16.88 / 
34643 /  "Deadfall Adventures Collectors Edition" /  $13.73 /  $14.69 /  $19.99 / 
13893 /  Deadliest Catch Alaskan Storm /  $7.56 /  $8.34 /  $33.08 / 
30783 /  Deadliest Catch: Sea of Chaos /  $5.43 /  $7.98 /  $12.12 / 
32815 /  Deadliest Warrior: Ancient Combat /  $6.46 /  $6.49 /  $12.25 / 
20775 /  Deadly Premonition /  $18.49 /  $25.00 /  $47.58 / 
34087 /  Deadpool /  $6.48 /  $6.49 /  $11.99 / 
21583 /  DeathSmiles /  $13.97 /  $24.37 /  $24.45 / 
21584 /  DeathSmiles Limited Edition /  $22.90 /  $26.33 /  $42.11 / 
32803 /  Deca Sports Freedom /  $3.78 /  $5.02 /  $9.04 / 
32097 /  Deepak Chopra: Leela /  $4.01 /  $4.24 /  $5.96 / 
11080 /  Def Jam Icon /  $8.21 /  $10.95 /  $29.58 / 
22127 /  Def Jam Rapstar /  $3.99 /  $4.00 /  $4.99 / 
22129 /  Def Jam Rapstar Game & Microphone /  $8.75 /  $11.98 /  $16.21 / 
33955 /  Defiance /  $2.49 /  $3.25 /  $6.50 / 
33956 /  "Defiance Collectors Edition" /  $17.15 /  $25.00 /  $43.33 / 
35032 /  Destiny /  $3.19 /  $3.61 /  $6.03 / 
35037 /  Destiny: Limited Edition /  $19.95 /  $24.37 /  $38.00 / 
35972 /  Destiny: Taken King Legendary Edition /  $3.82 /  $3.99 /  $9.57 / 
35041 /  Destiny: The Ghost Edition /  $99.52 /  $132.90 /  $244.71 / 
16096 /  Destroy All Humans: Path of the Furon /  $11.00 /  $13.24 /  $33.81 / 
31658 /  Deus Ex: Human Revolution /  $3.16 /  $3.24 /  $6.19 / 
34455 /  "Deus Ex: Human Revolution Directors Cut" /  $8.09 /  $9.25 /  $13.87 / 
31657 /  Deus Ex: Human Revolution [Augmented Edition] /  $6.98 /  $7.40 /  $17.79 / 
11885 /  Devil May Cry 4 /  $4.05 /  $4.93 /  $10.02 / 
11886 /  "Devil May Cry 4 [Collectors Edition]" /  $6.25 /  $11.95 /  $22.15 / 
32801 /  Devil May Cry HD Collection /  $6.12 /  $7.60 /  $12.24 / 
34244 /  Diablo III /  $4.57 /  $4.70 /  $9.59 / 
34999 /  Diablo III [Ultimate Evil Edition] /  $9.71 /  $11.24 /  $20.95 / 
35299 /  Digimon All-Star Rumble /  $11.42 /  $13.29 /  $29.92 / 
6754 /  Dirt /  $5.46 /  $6.86 /  $29.20 / 
19567 /  Dirt 2 /  $6.85 /  $8.00 /  $34.95 / 
32924 /  Dirt 3 /  $10.73 /  $11.57 /  $29.92 / 
32654 /  Dirt 3: Complete Edition /  $14.88 /  $20.04 /  $41.13 / 
32839 /  Dirt Showdown /  $12.05 /  $15.11 /  $35.17 / 
33156 /  Dishonored /  $3.41 /  $3.81 /  $7.50 / 
34314 /  Dishonored [Game of the Year] /  $4.97 /  $6.39 /  $9.98 / 
65180 /  Dishonored [Platinum Hits] /   /   /   / 
65113 /  Disney Infinity /  $6.99 /  $8.06 /  $24.35 / 
65114 /  Disney Infinity 2.0 /   /   /   / 
37764 /  Disney Infinity 3.0 /  $4.00 /  $4.99 /  $7.99 / 
35920 /  Disney Infinity 3.0 Starter Pack /  $7.01 /  $10.00 /  $14.98 / 
34173 /  Disney Infinity Starter Pack /  $14.53 /  $21.79 /  $30.03 / 
35081 /  Disney Infinity: Marvel Super Heroes Starter Pak 2.0 /  $27.54 /  $35.45 /  $35.49 / 
35268 /  Disney Infinity: Toy Box Starter Pack 2.0 /  $3.64 /  $3.70 /  $7.65 / 
15751 /  Disney Sing It /  $2.92 /  $3.69 /  $9.57 / 
16300 /  Disney Sing It High School Musical 3 /  $4.87 /  $5.31 /  $9.17 / 
16305 /  Disney Sing It High School Musical 3 Bundle /  $14.61 /  $14.61 /  $15.72 / 
31929 /  Disney Universe /  $7.00 /  $8.19 /  $15.69 / 
20122 /  Divinity II: Ego Draconis /  $4.72 /  $5.63 /  $18.31 / 
31320 /  Divinity II: The Dragon Knight Saga /  $12.25 /  $18.10 /  $33.67 / 
13890 /  Don King Presents Prize Fighter /  $3.96 /  $4.02 /  $10.02 / 
33184 /  Doom 3 BFG Edition /  $7.99 /  $8.00 /  $14.45 / 
31012 /  Dragon Age II /  $5.73 /  $5.95 /  $18.99 / 
31014 /  Dragon Age II [BioWare Signature Edition] /  $11.32 /  $11.50 /  $45.30 / 
35333 /  Dragon Age: Inquisition /  $5.90 /  $6.99 /  $10.99 / 
35338 /  Dragon Age: Inquisition Deluxe Edition /  $7.10 /  $9.16 /  $18.88 / 
36390 /  "Dragon Age: Inquisition Inquisitors Edition" /  $211.53 /  $274.99 /  $494.98 / 
19899 /  Dragon Age: Origins /  $3.97 /  $4.68 /  $10.47 / 
21061 /  Dragon Age: Origins Awakening Expansion /  $4.37 /  $4.92 /  $12.16 / 
19900 /  "Dragon Age: Origins Collectors Edition" /  $16.35 /  $16.95 /  $97.45 / 
30391 /  Dragon Age: Origins Ultimate Edition /  $11.02 /  $13.02 /  $25.82 / 
35656 /  Dragon Ball Xenoverse /  $9.73 /  $9.97 /  $14.73 / 
33282 /  Dragon Ball Z Budokai HD Collection /  $15.59 /  $18.78 /  $34.50 / 
13891 /  Dragon Ball Z Burst Limit /  $8.59 /  $9.99 /  $33.51 / 
33157 /  Dragon Ball Z for Kinect /  $11.35 /  $11.50 /  $31.49 / 
34660 /  Dragon Ball Z: Battle of Z /  $10.19 /  $13.27 /  $30.83 / 
31904 /  Dragon Ball Z: Ultimate Tenkaichi /  $8.82 /  $10.56 /  $27.74 / 
19960 /  Dragon Ball: Raging Blast /  $10.00 /  $12.16 /  $22.55 / 
30620 /  Dragon Ball: Raging Blast 2 /  $15.42 /  $17.45 /  $34.41 / 
32752 /  "Dragons Dogma" /  $4.06 /  $4.99 /  $10.61 / 
34001 /  "Dragons Dogma: Dark Arisen" /  $6.87 /  $7.20 /  $14.84 / 
31357 /  Dreamcast Collection /  $11.16 /  $12.10 /  $29.52 / 
19926 /  Dreamkiller /   /   /   / 
32269 /  Dreamworks Super Star Kartz /  $11.89 /  $12.42 /  $37.97 / 
31693 /  Driver: San Francisco /  $13.73 /  $19.44 /  $26.10 / 
35157 /  Duck Dynasty /  $4.19 /  $4.52 /  $7.49 / 
34528 /  DuckTales Remastered /  $22.53 /  $25.00 /  $45.00 / 
31478 /  Duke Nukem Forever /  $3.40 /  $4.71 /  $9.80 / 
36578 /  Duke Nukem Forever Balls of Steel Edition /  $25.00 /  $27.49 /  $30.28 / 
31504 /  Dungeon Siege III /  $4.41 /  $5.72 /  $9.95 / 
10435 /  Dynasty Warriors 5 Empires /  $5.69 /  $5.95 /  $18.00 / 
12101 /  Dynasty Warriors 6 /  $4.60 /  $4.98 /  $29.94 / 
19310 /  Dynasty Warriors 6: Empires /  $6.95 /  $7.02 /  $22.42 / 
31279 /  Dynasty Warriors 7 /  $5.11 /  $5.48 /  $8.99 / 
34104 /  Dynasty Warriors 8 /  $8.25 /  $10.55 /  $19.43 / 
7317 /  Dynasty Warriors Gundam /  $7.91 /  $11.22 /  $24.99 / 
18724 /  Dynasty Warriors: Gundam 2 /  $11.90 /  $19.92 /  $43.79 / 
31531 /  Dynasty Warriors: Gundam 3 /  $15.78 /  $22.79 /  $38.95 / 
20429 /  Dynasty Warriors: Strikeforce /  $4.01 /  $6.22 /  $12.08 / 
34297 /  EA Sports Active 2 /  $3.97 /  $6.75 /  $18.09 / 
30273 /  EA Sports MMA /  $4.02 /  $4.05 /  $13.60 / 
21856 /  ESA Holiday Bundle /  $21.88 /  $28.44 /  $57.30 / 
10618 /  Earth Defense Force 2017 /  $9.10 /  $11.95 /  $32.45 / 
34690 /  Earth Defense Force 2025 /  $8.90 /  $15.00 /  $24.53 / 
16349 /  Eat Lead: The Return of Matt Hazard /  $5.87 /  $7.26 /  $13.49 / 
37238 /  El Chavo Kart /  $35.41 /  $46.01 /  $80.88 / 
31649 /  El Shaddai: Ascension of the Metatron /  $5.46 /  $9.37 /  $16.36 / 
10619 /  Elder Scrolls IV Oblivion /  $4.87 /  $6.98 /  $18.73 / 
10620 /  "Elder Scrolls IV Oblivion [Collectors Edition]" /  $5.09 /  $13.37 /  $46.40 / 
14293 /  Elder Scrolls IV Oblivion [Game of the Year] /  $6.72 /  $7.25 /  $15.13 / 
65215 /  Elder Scrolls IV Oblivion [Platinum Hits] /   /   /   / 
10331 /  Elder Scrolls IV Shivering Isles /  $5.95 /  $6.07 /  $31.40 / 
31756 /  Elder Scrolls IV: Oblivion 5th Anniversary Edition /  $16.25 /  $20.50 /  $40.33 / 
32101 /  Elder Scrolls V: Skyrim /  $3.96 /  $4.91 /  $8.63 / 
34682 /  Elder Scrolls V: Skyrim & BioShock Infinite Bundle /  $9.50 /  $10.40 /  $14.50 / 
34059 /  Elder Scrolls V: Skyrim Legendary Edition /  $7.25 /  $8.00 /  $11.75 / 
32325 /  "Elder Scrolls V: Skyrim [Collectors Edition]" /  $54.89 /  $98.72 /  $174.14 / 
10621 /  Enchanted Arms /  $4.63 /  $8.26 /  $21.93 / 
65307 /  Enchanted Arms [First Edition] /   /   /   / 
15888 /  End War /  $3.31 /  $4.99 /  $9.85 / 
65314 /  End War [Limited Wireless Headset Edition] /  $11.78 /  $16.36 /  $29.45 / 
34928 /  Enemy Front /  $7.78 /  $8.11 /  $14.22 / 
65439 /  Enemy Front [Special Edition] /  $7.00 /  $9.10 /  $17.50 / 
14108 /  Enemy Territory Quake Wars /  $3.98 /  $5.50 /  $11.73 / 
22118 /  Enslaved /  $7.66 /  $10.05 /  $19.91 / 
33402 /  Epic Mickey 2: The Power of Two /  $5.85 /  $6.00 /  $18.00 / 
10622 /  Eragon /  $3.80 /  $5.22 /  $12.62 / 
35341 /  Escape Dead Island /  $3.97 /  $4.85 /  $6.29 / 
7322 /  Eternal Sonata /  $5.33 /  $8.07 /  $19.93 / 
11117 /  F.E.A.R. /  $6.42 /  $6.70 /  $20.00 / 
16274 /  F.E.A.R. 2 Project Origin /  $4.61 /  $5.97 /  $19.99 / 
31507 /  F.E.A.R. 3 /  $5.50 /  $5.99 /  $16.00 / 
55902 /  F.E.A.R. 3 [Silver Shield] /   /   /   / 
10534 /  F.E.A.R. Files /  $5.95 /  $7.97 /  $15.42 / 
65570 /  F.E.A.R. [Platinum Hits] /   /   /   / 
22034 /  F1 2010 /  $4.99 /  $5.79 /  $11.37 / 
31734 /  F1 2011 /  $6.16 /  $7.14 /  $14.68 / 
33064 /  F1 2012 /  $8.22 /  $11.19 /  $17.02 / 
46411 /  F1 2013 /  $20.97 /  $23.60 /  $47.19 / 
35185 /  F1 2014 /  $22.50 /  $23.79 /  $36.77 / 
33325 /  F1 Race Stars /  $8.84 /  $9.80 /  $12.54 / 
6756 /  FIFA 07 /  $3.50 /  $4.56 /  $10.08 / 
10624 /  FIFA 08 /  $3.39 /  $4.41 /  $12.90 / 
34288 /  FIFA 14 /  $2.91 /  $3.67 /  $4.42 / 
35069 /  FIFA 15 /  $4.27 /  $4.39 /  $7.53 / 
35077 /  FIFA 15: Ultimate Edition /  $4.97 /  $5.00 /  $15.45 / 
36004 /  FIFA 16 /  $5.50 /  $5.86 /  $8.55 / 
36008 /  FIFA 16 Deluxe Edition /  $7.71 /  $12.71 /  $17.99 / 
36955 /  FIFA 17 /  $9.50 /  $10.40 /  $12.71 / 
39929 /  FIFA 18 /  $15.49 /  $19.79 /  $20.80 / 
11063 /  FIFA 2006 Road to World Cup /  $3.26 /  $5.01 /  $9.64 / 
15716 /  FIFA Soccer 09 /  $3.14 /  $4.68 /  $11.29 / 
19773 /  FIFA Soccer 10 /  $3.12 /  $3.48 /  $9.89 / 
22052 /  FIFA Soccer 11 /  $3.06 /  $3.98 /  $8.73 / 
31760 /  FIFA Soccer 12 /  $3.18 /  $3.49 /  $5.06 / 
33122 /  FIFA Soccer 13 /  $2.74 /  $3.50 /  $5.25 / 
32613 /  FIFA Street /  $6.53 /  $7.29 /  $15.73 / 
14941 /  FIFA Street 3 /  $5.46 /  $6.16 /  $14.98 / 
10625 /  FIFA World Cup: Germany 2006 /  $3.54 /  $4.34 /  $9.97 / 
34664 /  Fable Anniversary /  $16.35 /  $17.68 /  $28.91 / 
15742 /  Fable II /  $5.76 /  $8.78 /  $23.41 / 
15743 /  Fable II [Limited Edition] /  $9.89 /  $15.00 /  $50.38 / 
35474 /  Fable II [Platinum Hits] /  $6.99 /  $6.99 /  $31.27 / 
30378 /  Fable III /  $4.01 /  $5.00 /  $7.33 / 
30381 /  "Fable III Collectors Edition" /  $13.94 /  $21.47 /  $59.79 / 
33158 /  Fable: The Journey /  $3.19 /  $4.12 /  $6.10 / 
14842 /  FaceBreaker /  $4.06 /  $4.71 /  $13.64 / 
19841 /  Fairytale Fights /  $4.43 /  $5.95 /  $13.14 / 
35094 /  Falling Skies: The Game /  $3.61 /  $5.31 /  $8.14 / 
15803 /  Fallout 3 /  $4.37 /  $4.99 /  $15.00 / 
32686 /  Fallout 3 & Oblivion Double Pack /  $5.50 /  $7.61 /  $20.22 / 
19508 /  Fallout 3 Add-on Broken Steel and Point Lookout /  $3.97 /  $6.40 /  $12.90 / 
19509 /  Fallout 3 Add-on The Pitt and Operation: Anchorage /  $3.81 /  $4.59 /  $7.90 / 
15807 /  "Fallout 3 Collectors Edition" /  $29.01 /  $47.50 /  $77.42 / 
15804 /  Fallout 3 Survival Edition /  $249.99 /  $302.50 /  $414.46 / 
19735 /  Fallout 3 [Game of the Year] /  $5.46 /  $7.21 /  $12.43 / 
30265 /  Fallout: New Vegas /  $4.77 /  $5.50 /  $12.29 / 
30267 /  "Fallout: New Vegas Collectors Edition" /  $62.50 /  $84.30 /  $151.74 / 
32467 /  Fallout: New Vegas [Ultimate Edition] /  $10.00 /  $10.84 /  $15.99 / 
32430 /  Family Feud 2012 /  $13.77 /  $14.89 /  $34.99 / 
33374 /  Family Guy: Back To The Multiverse /  $11.99 /  $13.12 /  $20.14 / 
35186 /  Fantasia: Music Evolved /  $2.94 /  $3.62 /  $4.16 / 
6755 /  Fantastic 4 Rise of the Silver Surfer /  $4.46 /  $5.74 /  $10.70 / 
31322 /  Fantastic Pets /  $4.16 /  $5.49 /  $7.90 / 
15746 /  Far Cry 2 /  $5.71 /  $7.40 /  $14.08 / 
65312 /  Far Cry 2 [GameStop Edition] /   /   /   / 
33576 /  Far Cry 3 /  $4.06 /  $4.97 /  $12.58 / 
65216 /  Far Cry 3 [Platinum Hits] /   /   /   / 
35345 /  Far Cry 4 /  $6.49 /  $7.40 /  $13.00 / 
35352 /  Far Cry 4 [Kyrat Edition] /  $8.49 /  $16.50 /  $59.99 / 
35541 /  Far Cry 4 [Limited Edition] /  $9.99 /  $10.09 /  $17.47 / 
34964 /  Far Cry Compilation /  $13.35 /  $13.35 /  $21.99 / 
10623 /  Far Cry Instincts Predator /  $8.00 /  $9.99 /  $23.23 / 
34895 /  Farming Simulator /  $9.22 /  $10.29 /  $23.26 / 
35750 /  Farming Simulator 15 /  $9.88 /  $15.00 /  $20.58 / 
65478 /  Farming Simulator 15 [Platinum Hits] /  $12.35 /  $15.49 /  $27.08 / 
34033 /  Fast and the Furious: Showdown /  $7.40 /  $8.03 /  $19.98 / 
11178 /  Fatal Inertia /  $4.50 /  $9.01 /  $12.59 / 
32396 /  Field & Stream: Total Outdoorsman Challenge /  $7.99 /  $9.88 /  $23.41 / 
31001 /  Fight Night Champion /  $9.73 /  $14.43 /  $21.09 / 
10626 /  Fight Night Round 3 /  $4.45 /  $5.51 /  $16.43 / 
65260 /  Fight Night Round 3 [Platinum Hits] /   /   /   / 
19312 /  Fight Night Round 4 /  $5.81 /  $6.23 /  $12.00 / 
30633 /  Fighters Uncaged /  $3.42 /  $5.00 /  $9.41 / 
10627 /  Final Fantasy XI /  $3.47 /  $5.00 /  $8.40 / 
10865 /  "Final Fantasy XI Vanadiel Collection 2008" /  $7.88 /  $7.92 /  $16.74 / 
10866 /  Final Fantasy XI Wings of the Goddess /  $4.50 /  $5.17 /  $7.00 / 
33946 /  Final Fantasy XI: Seekers of Adoulin /  $4.43 /  $7.05 /  $7.98 / 
19962 /  Final Fantasy XI: Ultimate Collection /  $6.63 /  $7.96 /  $23.95 / 
33947 /  Final Fantasy XI: Ultimate Collection Seekers Edition /  $13.73 /  $18.29 /  $51.25 / 
21047 /  Final Fantasy XIII /  $4.13 /  $7.99 /  $15.86 / 
32450 /  Final Fantasy XIII-2 /  $5.97 /  $7.89 /  $15.05 / 
35381 /  "Final Fantasy XIII-2 [Collectors Edition]" /  $17.28 /  $17.81 /  $29.34 / 
30622 /  "Fist of the North Star: Kens Rage" /  $7.65 /  $11.24 /  $22.40 / 
33823 /  "Fist of the North Star: Kens Rage 2" /  $13.01 /  $16.83 /  $30.25 / 
8980 /  Flatout Ultimate Carnage /  $12.38 /  $15.60 /  $27.47 / 
33211 /  Forza Horizon /  $10.62 /  $11.72 /  $27.07 / 
35097 /  Forza Horizon 2 /  $21.85 /  $24.05 /  $33.43 / 
33212 /  "Forza Horizon [Limited Collectors Edition]" /  $11.23 /  $12.25 /  $28.06 / 
10628 /  Forza Motorsport 2 /  $4.18 /  $6.38 /  $16.75 / 
21857 /  "Forza Motorsport 2 [Limited Collectors Edition]" /  $9.44 /  $15.47 /  $69.74 / 
36243 /  Forza Motorsport 2 [Platinum Hits] /  $5.20 /  $7.70 /  $30.01 / 
19862 /  Forza Motorsport 3 /  $4.35 /  $4.62 /  $17.15 / 
19863 /  "Forza Motorsport 3 Limited Collectors Edition" /  $11.29 /  $11.76 /  $119.89 / 
31818 /  Forza Motorsport 4 /  $6.02 /  $6.85 /  $16.73 / 
35053 /  Forza Motorsport 4 Essentials Edition /  $5.95 /  $9.44 /  $15.05 / 
31819 /  "Forza Motorsport 4 Limited Collectors Edition" /  $20.81 /  $21.36 /  $84.98 / 
15670 /  Fracture /  $3.96 /  $4.56 /  $10.67 / 
22072 /  Front Mission Evolved /  $5.07 /  $5.12 /  $9.78 / 
11890 /  Frontlines Fuel of War /  $3.65 /  $5.00 /  $11.73 / 
21854 /  Fuel /  $7.20 /  $9.75 /  $28.08 / 
10692 /  Full Auto /  $5.42 /  $6.05 /  $18.06 / 
34054 /  Fuse /  $3.60 /  $4.52 /  $8.28 / 
10629 /  Fuzion Frenzy 2 /  $7.95 /  $7.99 /  $14.44 / 
19396 /  G-Force /  $6.60 /  $7.83 /  $18.51 / 
19457 /  G.I. Joe: The Rise of Cobra /  $2.82 /  $6.22 /  $14.99 / 
31496 /  Game Party: In Motion /  $3.38 /  $5.00 /  $10.64 / 
32743 /  Game of Thrones /  $6.59 /  $7.00 /  $11.15 / 
36289 /  Game of Thrones A Telltale Games Series /  $8.35 /  $8.68 /  $10.71 / 
10630 /  Gears of War /  $3.50 /  $4.99 /  $21.25 / 
15883 /  Gears of War 2 /  $3.36 /  $3.61 /  $18.49 / 
55703 /  Gears of War 2 [Game of the Year] /  $4.86 /  $7.00 /  $13.99 / 
15884 /  Gears of War 2 [Limited Edition] /  $4.34 /  $14.33 /  $50.54 / 
31741 /  Gears of War 3 /  $3.99 /  $5.37 /  $10.98 / 
31743 /  Gears of War 3 [Epic Edition] /  $34.87 /  $68.75 /  $136.87 / 
31742 /  Gears of War 3 [Limited Edition] /  $13.75 /  $23.25 /  $51.76 / 
33926 /  Gears of War Judgment /  $4.03 /  $4.83 /  $7.89 / 
10693 /  Gears of War Limited Edition /  $6.89 /  $14.31 /  $85.01 / 
13975 /  Gears of War Refresh /  $3.63 /  $4.89 /  $18.13 / 
30990 /  Gears of War Triple Pack /  $6.96 /  $8.99 /  $17.40 / 
31901 /  Generator Rex: Agent of Providence /  $3.64 /  $4.47 /  $6.62 / 
13246 /  Ghost Recon Advanced Warfighter /  $3.02 /  $3.99 /  $12.41 / 
